Name,common name,Family,Division,Total TE content,Percent,Class,Reference
Nelumbo nucifera ,sacred lotus,Nelumbonacease,Angiosperm,48,31.5,Class II,"Ming et al., 2013"
Setaria italica ,foxtail millet,Poaceae ,Angiosperm,46.3,31.6,Class II,"Zhang et al., 2012"
Brachypodium distachyon ,grass,Poaceae ,Angiosperm,26,21.4,Class II,"Vogel et al., 2010"
Phyllostachys heterocycla ,bamboo,Poaceae ,Angiosperm,59,39,Class II,"Peng et al., 2013"
Eucalyptus grandis ,eucalyptus,Myrtaceae,Angiosperm,,44.5,Class II,"Myberg et al., 2014"
Thellungiella parvula ,wild mustard,Brassicaceae,Angiosperm,7.5,5.55,Class II,"Dassanayake et al., 2011"
Zostera marina ,sea grass,Zosteraceae,Angiosperm,63,59,Class II,"Olsen et al., 2016"
Spirodela polyrhiza,duckweed,Araceae,Angiosperm,,13.1,Class II,"Wang et al., 2014"
A.thaliana,wild mustard,Brassicaceae,Angiosperm,24,8.6,Class II,Maumus & Quesneville 2014
Phalaenopsis equestris ,orchid,Orchidaceae,Angiosperm,62,55,Class II,"Cai et al., 2015"
Solanum commersonii ,wild potato,Solanaceae,Angiosperm,44.5,34,Class II,"Aversano et al., 2015"
Oryza brachyantha ,wild rice,Poaceae ,Angiosperm,29.2,10,Class II,"Chen et al., 2013"
Selaginella moellendorffii ,selaginella ,Selaginaceae,Lycophyte,37.5,35.6,Class II,"Banks et al., 2011"
Nelumbo nucifera ,sacred lotus,Nelumbonacease,Angiosperm,48,16.2,Class I,"Ming et al., 2013"
Setaria italica ,foxtail millet,Poaceae ,Angiosperm,46.3,9.4,Class I,"Zhang et al., 2012"
Brachypodium distachyon ,grass,Poaceae ,Angiosperm,26,4.77,Class I,"Vogel et al., 2010"
Phyllostachys heterocycla ,bamboo,Poaceae ,Angiosperm,59,9.5,Class I,"Peng et al., 2013"
Eucalyptus grandis ,eucalyptus,Myrtaceae,Angiosperm,,5.6,Class I,"Myberg et al., 2014"
Thellungiella parvula ,wild mustard,Brassicaceae,Angiosperm,7.5,1.15,Class I,"Dassanayake et al., 2011"
Zostera marina ,sea grass,Zosteraceae,Angiosperm,63,6,Class I,"Olsen et al., 2016"
Spirodela polyrhiza,duckweed,Araceae,Angiosperm,,,Class I,"Wang et al., 2014"
A.thaliana,wild mustard,Brassicaceae,Angiosperm,24,12.1,Class I,Maumus & Quesneville 2014
Phalaenopsis equestris ,orchid,Orchidaceae,Angiosperm,62,4.63,Class I,"Cai et al., 2015"
Solanum commersonii ,wild potato,Solanaceae,Angiosperm,44.5,,Class I,"Aversano et al., 2015"
Oryza brachyantha ,wild rice,Poaceae ,Angiosperm,29.2,,Class I,"Chen et al., 2013"
Selaginella moellendorffii ,selaginella ,Selaginaceae,Lycophyte,37.5,1.76,Class I,"Banks et al., 2011"
Ceratopteris,Ceratopteris,,Monilophyte,,2.536,Class I,"Wolf et al., 2015"
Ceratopteris,Ceratopteris,,Monilophyte,,2.248,Class I,"Wolf et al., 2015"
Ceratopteris,Ceratopteris,,Monilophyte,,2.989,Class I,"Wolf et al., 2015"
Cystopteris,Cystopteris,,Monilophyte,,5.274,Class I,"Wolf et al., 2015"
Cystopteris,Cystopteris,,Monilophyte,,4.022,Class I,"Wolf et al., 2015"
Cystopteris,Cystopteris,,Monilophyte,,4.648,Class I,"Wolf et al., 2015"
Dipteris,Dipteris,,Monilophyte,,4.167,Class I,"Wolf et al., 2015"
Dipteris,Dipteris,,Monilophyte,,3.641,Class I,"Wolf et al., 2015"
Dipteris,Dipteris,,Monilophyte,,2.807,Class I,"Wolf et al., 2015"
Plagiogyria,Plagiogyria,,Monilophyte,,4.349,Class I,"Wolf et al., 2015"
Plagiogyria,Plagiogyria,,Monilophyte,,3.801,Class I,"Wolf et al., 2015"
Plagiogyria,Plagiogyria,,Monilophyte,,3.509,Class I,"Wolf et al., 2015"
Polypodium,Polypodium,,Monilophyte,,2.324,Class I,"Wolf et al., 2015"
Polypodium,Polypodium,,Monilophyte,,2.644,Class I,"Wolf et al., 2015"
Polypodium,Polypodium,,Monilophyte,,2.247,Class I,"Wolf et al., 2015"
Pteridium,Pteridium,,Monilophyte,,2.647,Class I,"Wolf et al., 2015"
Pteridium,Pteridium,,Monilophyte,,2.167,Class I,"Wolf et al., 2015"
Pteridium,Pteridium,,Monilophyte,,4.233,Class I,"Wolf et al., 2015"
Amborella,Amborella,,Angiosperm,,0.217,Class I,"Wolf et al., 2015"
Amborella,Amborella,,Angiosperm,,0.326,Class I,"Wolf et al., 2015"
Amborella,Amborella,,Angiosperm,,0.407,Class I,"Wolf et al., 2015"
Gnetum,Gnetum,,Gymnosperm,,0.549,Class I,"Wolf et al., 2015"
Gnetum,Gnetum,,Gymnosperm,,1.243,Class I,"Wolf et al., 2015"
Gnetum,Gnetum,,Gymnosperm,,1.995,Class I,"Wolf et al., 2015"
Pinus,Pinus,,Gymnosperm,,0.354,Class I,"Wolf et al., 2015"
Pinus,Pinus,,Gymnosperm,,0.726,Class I,"Wolf et al., 2015"
Pinus,Pinus,,Gymnosperm,,0.864,Class I,"Wolf et al., 2015"
Taxus,Taxus,,Gymnosperm,,0.785,Class I,"Wolf et al., 2015"
Taxus,Taxus,,Gymnosperm,,1.258,Class I,"Wolf et al., 2015"
Taxus,Taxus,,Gymnosperm,,0.863,Class I,"Wolf et al., 2015"
Ceratopteris,Ceratopteris,,Monilophyte,,39.947,Class II,"Wolf et al., 2015"
Ceratopteris,Ceratopteris,,Monilophyte,,40.011,Class II,"Wolf et al., 2015"
Ceratopteris,Ceratopteris,,Monilophyte,,39.688,Class II,"Wolf et al., 2015"
Cystopteris,Cystopteris,,Monilophyte,,34.316,Class II,"Wolf et al., 2015"
Cystopteris,Cystopteris,,Monilophyte,,32.036,Class II,"Wolf et al., 2015"
Cystopteris,Cystopteris,,Monilophyte,,36.089,Class II,"Wolf et al., 2015"
Dipteris,Dipteris,,Monilophyte,,26.948,Class II,"Wolf et al., 2015"
Dipteris,Dipteris,,Monilophyte,,26.587,Class II,"Wolf et al., 2015"
Dipteris,Dipteris,,Monilophyte,,26.161,Class II,"Wolf et al., 2015"
Plagiogyria,Plagiogyria,,Monilophyte,,27.837,Class II,"Wolf et al., 2015"
Plagiogyria,Plagiogyria,,Monilophyte,,28.817,Class II,"Wolf et al., 2015"
Plagiogyria,Plagiogyria,,Monilophyte,,26.941,Class II,"Wolf et al., 2015"
Polypodium,Polypodium,,Monilophyte,,31.969,Class II,"Wolf et al., 2015"
Polypodium,Polypodium,,Monilophyte,,30.28,Class II,"Wolf et al., 2015"
Polypodium,Polypodium,,Monilophyte,,31.007,Class II,"Wolf et al., 2015"
Pteridium,Pteridium,,Monilophyte,,25.29,Class II,"Wolf et al., 2015"
Pteridium,Pteridium,,Monilophyte,,32.47,Class II,"Wolf et al., 2015"
Pteridium,Pteridium,,Monilophyte,,30.682,Class II,"Wolf et al., 2015"
Amborella,Amborella,,Angiosperm,,3.551,Class II,"Wolf et al., 2015"
Amborella,Amborella,,Angiosperm,,3.265,Class II,"Wolf et al., 2015"
Amborella,Amborella,,Angiosperm,,3.373,Class II,"Wolf et al., 2015"
Gnetum,Gnetum,,Gymnosperm,,19.147,Class II,"Wolf et al., 2015"
Gnetum,Gnetum,,Gymnosperm,,18.993,Class II,"Wolf et al., 2015"
Gnetum,Gnetum,,Gymnosperm,,17.095,Class II,"Wolf et al., 2015"
Pinus,Pinus,,Gymnosperm,,34.473,Class II,"Wolf et al., 2015"
Pinus,Pinus,,Gymnosperm,,38.132,Class II,"Wolf et al., 2015"
Pinus,Pinus,,Gymnosperm,,38.117,Class II,"Wolf et al., 2015"
Taxus,Taxus,,Gymnosperm,,19.443,Class II,"Wolf et al., 2015"
Taxus,Taxus,,Gymnosperm,,19.485,Class II,"Wolf et al., 2015"
Taxus,Taxus,,Gymnosperm,,20.321,Class II,"Wolf et al., 2015"